,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food,FoodId,Does it contain cheese ?,Does it contain dought (ie : bread) ?,Does it contain vegetables ?,Is it healthy ?,Is there a soup ?,Is it cooked in hoven ?,Is it a hot meal ?,Vegetarian ?,Is there sea food or fish ? ,Is it sauce based food ?,Is the preparation fast ?,Is it Asian food ?,Is it Italian food ?,Is it Mexican food ?,Do you eat it with your finger ?,Does it contain Pork ?,Is it Japanese food ?,Does it contain beef ?,Is it Korean food ? ,Is it French food ?,Is it Arabic food ?,Does it contain Duck ?,Does it contain chicken,Does it contain veal ?,Is it spicy ?,Does it contain Rice ?,Does it contain noodles ?,Does it contain pasta ?,Does it contain egg ?
Chicken marengo,136,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
flamenkuche,137,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
tian,138,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Grilled trout,139,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
bruschetta,140,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Olives flat bread,141,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Honey Goat's cheese wrap,142,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Hot goat's cheese,143,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
steak tartare,144,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
tortilla,145,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Mouthful queen,146,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Muffin bacon leak,147,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Provencal tomatoes,148,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Shrimp cocktail,149,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
